# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = barebones_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = barebones.data.R
# init = 2 (Default)
# random
#   seed = 901527629
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,icpt,slope,sigma
# Adaptation terminated
# Step size = 0.229652
# Diagonal elements of inverse mass matrix:
# 0.360458, 0.0194784, 0.139412
2.16786,0.24745,0.229652,2,3,0,-0.514339,1.35928,0.35129
2.13851,0.990678,0.229652,1,1,0,-0.494671,1.35462,0.350682
-0.462615,0.318871,0.229652,3,7,0,-0.371278,1.41151,0.256629
1.53565,1,0.229652,1,1,0,-0.52682,1.37772,0.261297
2.16188,1,0.229652,1,1,0,-0.496962,1.37958,0.278035
2.16188,0.369294,0.229652,2,3,0,-0.496962,1.37958,0.278035
2.16188,0.0688559,0.229652,3,7,0,-0.496962,1.37958,0.278035
2.74792,0.959812,0.229652,3,5,0,-0.377778,1.37831,0.345304
2.35848,0.926548,0.229652,2,3,0,-0.405355,1.35128,0.316241
1.89508,0.881102,0.229652,4,15,0,-0.440561,1.40754,0.572993
1.59311,0.945736,0.229652,4,15,0,-0.104762,1.2711,0.432779
1.61218,0.967918,0.229652,3,7,0,0.0457516,1.28287,0.391101
1.3696,0.46469,0.229652,4,15,0,0.0747953,1.28964,0.569721
2.30704,0.962669,0.229652,3,7,0,-0.286356,1.32187,0.457325
2.5237,0.897529,0.229652,4,15,0,-0.34047,1.36716,0.312214
2.23446,0.873558,0.229652,1,1,0,-0.330404,1.37284,0.299492
2.35786,0.890619,0.229652,3,7,0,-0.23623,1.31497,0.40851
1.89061,0.588914,0.229652,2,3,0,-0.195291,1.36874,0.396206
1.38766,0.953825,0.229652,3,7,0,-0.1692,1.28783,0.340658
1.38766,0.27157,0.229652,3,7,0,-0.1692,1.28783,0.340658
1.54584,1,0.229652,1,1,0,-0.165025,1.29228,0.336066
1.55995,0.823119,0.229652,4,15,0,-1.05408,1.49226,0.447891
-0.448556,0.59569,0.229652,2,3,0,-1.14763,1.45589,0.434599
0.597071,1,0.229652,2,3,0,-0.952549,1.54755,0.468524
0.0335884,0.803286,0.229652,1,1,0,-0.884604,1.54944,0.463147
0.636121,1,0.229652,2,3,0,-0.880744,1.53694,0.468616
